user_session,product_id,category_code,brand,price,candidate_source,base_relevance_score,is_ground_truth_target,purchase_probability,predicted_purchase,trust_score,suspiciousness_score,risk_level,trust_category,scoring_status
003e20f1-1013-407c-9931-0250934600bd,26402365,unknown,lucente,103.73,in_session,0.8,0,0.0429840001087841,0,0.75,0.25,Medium,Insufficient Evidence,insufficient_evidence_fallback
003e20f1-1013-407c-9931-0250934600bd,26400193,unknown,unknown,245.31,in_session,0.8,0,0.0429840001087841,0,0.5,0.5,Medium,Unknown Brand,unbranded_fallback
003e20f1-1013-407c-9931-0250934600bd,26400764,unknown,lucente,116.09,in_session,0.8,1,0.0429840001087841,0,0.75,0.25,Medium,Insufficient Evidence,insufficient_evidence_fallback
003e20f1-1013-407c-9931-0250934600bd,3900003,appliances.environment.water_heater,ariston,120.46,category_affinity,0.21277842907385322,0,0.0429840001087841,0,0.1687608440480348,0.8312391559519652,High,Low Trust,scored
003e20f1-1013-407c-9931-0250934600bd,3900339,appliances.environment.water_heater,aqua,30.63,category_affinity,0.20750293083235416,0,0.0429840001087841,0,0.6931934966834379,0.3068065033165622,Low,High Trust,scored
003e20f1-1013-407c-9931-0250934600bd,3900776,appliances.environment.water_heater,artel,86.1,category_affinity,0.20679953106682097,0,0.0429840001087841,0,0.6754676964251377,0.3245323035748623,Low,High Trust,scored
003e20f1-1013-407c-9931-0250934600bd,3900815,appliances.environment.water_heater,ariston,133.82,category_affinity,0.20562719812426566,0,0.0429840001087841,0,0.1687608440480348,0.8312391559519652,High,Low Trust,scored
003e20f1-1013-407c-9931-0250934600bd,3900002,appliances.environment.water_heater,ariston,103.18,category_affinity,0.20550996483001008,0,0.0429840001087841,0,0.1687608440480348,0.8312391559519652,High,Low Trust,scored
003e20f1-1013-407c-9931-0250934600bd,3900821,appliances.environment.water_heater,aqua,33.2,category_affinity,0.2044548651817103,0,0.0429840001087841,0,0.6931934966834379,0.3068065033165622,Low,High Trust,scored
003e20f1-1013-407c-9931-0250934600bd,3900663,appliances.environment.water_heater,thermex,110.48,category_affinity,0.20386869871043262,0,0.0429840001087841,0,0.7392021612590782,0.2607978387409218,Low,High Trust,scored
003e20f1-1013-407c-9931-0250934600bd,3900486,appliances.environment.water_heater,ariston,210.29,category_affinity,0.20351699882766602,0,0.0429840001087841,0,0.1687608440480348,0.8312391559519652,High,Low Trust,scored
