user_session,product_id,category_code,brand,price,candidate_source,base_relevance_score,is_ground_truth_target,purchase_probability,predicted_purchase,trust_score,suspiciousness_score,risk_level,trust_category,scoring_status,trust_aware_score,purchase_only_score,hard_filter_score,popularity_score,rank,model_name
003e20f1-1013-407c-9931-0250934600bd,26402365,unknown,lucente,103.73,in_session,0.8,0,0.0429840001087841,0,0.75,0.25,Medium,Insufficient Evidence,insufficient_evidence_fallback,0.4693428000489528,0.8343872000870273,0.8343872000870273,0.046307151230936,1,Purchase-Only Baseline
003e20f1-1013-407c-9931-0250934600bd,26400193,unknown,unknown,245.31,in_session,0.8,0,0.0429840001087841,0,0.5,0.5,Medium,Unknown Brand,unbranded_fallback,0.3128952000326352,0.8343872000870273,0.8343872000870273,0.0389800703399651,2,Purchase-Only Baseline
003e20f1-1013-407c-9931-0250934600bd,26400764,unknown,lucente,116.09,in_session,0.8,1,0.0429840001087841,0,0.75,0.25,Medium,Insufficient Evidence,insufficient_evidence_fallback,0.4693428000489528,0.8343872000870273,0.8343872000870273,0.0193434935521631,3,Purchase-Only Baseline
003e20f1-1013-407c-9931-0250934600bd,1004856,electronics.smartphone,samsung,130.76,category_affinity,0.5999999999998826,0,0.0429840001087841,0,0.4960472114380608,0.5039527885619391,Medium,Medium Trust,scored,0.2328161871727688,0.625790400065148,0.625790400065148,0.9999999999997068,4,Purchase-Only Baseline
003e20f1-1013-407c-9931-0250934600bd,3900003,appliances.environment.water_heater,ariston,120.46,category_affinity,0.21277842907385322,0,0.0429840001087841,0,0.1687608440480348,0.8312391559519652,High,Low Trust,scored,0.0074904330888467974,0.22192449709231063,-1.0,0.031946072684633,5,Purchase-Only Baseline
003e20f1-1013-407c-9931-0250934600bd,3900339,appliances.environment.water_heater,aqua,30.63,category_affinity,0.20750293083235416,0,0.0429840001087841,0,0.6931934966834379,0.3068065033165622,Low,High Trust,scored,0.15002248711089033,0.21642223683382508,0.21642223683382508,0.0187573270808854,6,Purchase-Only Baseline
003e20f1-1013-407c-9931-0250934600bd,3900776,appliances.environment.water_heater,artel,86.1,category_affinity,0.20679953106682097,0,0.0429840001087841,0,0.6754676964251377,0.3245323035748623,Low,High Trust,scored,0.14569068322772866,0.2156886021326937,0.2156886021326937,0.0169988276670524,7,Purchase-Only Baseline
003e20f1-1013-407c-9931-0250934600bd,3900815,appliances.environment.water_heater,ariston,133.82,category_affinity,0.20562719812426566,0,0.0429840001087841,0,0.1687608440480348,0.8312391559519652,High,Low Trust,scored,0.007238688505695543,0.21446587763080804,-1.0,0.0140679953106641,8,Purchase-Only Baseline
003e20f1-1013-407c-9931-0250934600bd,3900002,appliances.environment.water_heater,ariston,103.18,category_affinity,0.20550996483001008,0,0.0429840001087841,0,0.1687608440480348,0.8312391559519652,High,Low Trust,scored,0.0072345615453160116,0.21434360518061943,-1.0,0.0137749120750252,9,Purchase-Only Baseline
003e20f1-1013-407c-9931-0250934600bd,3900821,appliances.environment.water_heater,aqua,33.2,category_affinity,0.2044548651817103,0,0.0429840001087841,0,0.6931934966834379,0.3068065033165622,Low,High Trust,scored,0.14781876696123947,0.21324315312892236,0.21324315312892236,0.0111371629542757,10,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,4804295,electronics.audio.headphone,xiaomi,22.39,in_session,0.8,0,0.0744944485762185,0,0.6531157307567244,0.3468842692432756,Medium,Medium Trust,scored,0.4210615361855403,0.8595955588609748,0.8595955588609748,0.2453106682297053,1,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,16200323,kids.fmcg.diapers,huggies,13.8,in_session,0.8,0,0.0744944485762185,0,0.2624446685666539,0.7375553314333461,High,Low Trust,scored,0.045119254309327235,0.8595955588609748,-1.0,0.0,2,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,28000020,unknown,unknown,61.78,in_session,0.8,0,0.0744944485762185,0,0.5,0.5,Medium,Unknown Brand,unbranded_fallback,0.32234833457286555,0.8595955588609748,0.8595955588609748,0.0026377491207495,3,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,28000018,unknown,unknown,58.69,in_session,0.8,1,0.0744944485762185,0,0.5,0.5,Medium,Unknown Brand,unbranded_fallback,0.32234833457286555,0.8595955588609748,0.8595955588609748,0.0029308323563883,4,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,4804056,electronics.audio.headphone,apple,161.93,category_affinity,0.33974208675259676,0,0.0744944485762185,0,0.4820639313358406,0.5179360686641594,Medium,Medium Trust,scored,0.13198343514595304,0.36505098616336523,0.36505098616336523,0.3493552168814919,5,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,16200287,kids.fmcg.diapers,huggies,4.02,category_affinity,0.2019929660023441,0,0.0744944485762185,0,0.2624446685666539,0.7375553314333461,High,Low Trust,scored,0.011392215002193817,0.21704032062096357,-1.0,0.0049824150058602,6,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,16200316,kids.fmcg.diapers,huggies,19.92,category_affinity,0.20070339976553322,0,0.0744944485762185,0,0.2624446685666539,0.7375553314333461,High,Low Trust,scored,0.011319484668459575,0.21565468885843894,-1.0,0.001758499413833,7,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,16200284,kids.fmcg.diapers,huggies,4.02,category_affinity,0.20070339976553322,0,0.0744944485762185,0,0.2624446685666539,0.7375553314333461,High,Low Trust,scored,0.011319484668459575,0.21565468885843894,-1.0,0.001758499413833,8,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,16200218,kids.fmcg.diapers,unknown,14.18,category_affinity,0.20070339976553322,0,0.0744944485762185,0,0.5,0.5,Medium,Unknown Brand,unbranded_fallback,0.0808705083219146,0.21565468885843894,0.21565468885843894,0.001758499413833,9,Purchase-Only Baseline
004217bc-db01-4503-a6cf-e00a2ea732ae,16200067,kids.fmcg.diapers,merries,20.71,category_affinity,0.20058616647127764,0,0.0744944485762185,0,0.420678073236326,0.579321926763674,Medium,Medium Trust,scored,0.06800115572909646,0.21552872233457301,0.21552872233457301,0.0014654161781941,10,Purchase-Only Baseline
006d2e99-7346-4240-b445-2d9cc21ffdfe,27500013,unknown,unit,54.96,in_session,0.8,0,0.0568737501031801,0,0.949673747953222,0.050326252046778,Low,High Trust,scored,0.8029482042990913,0.8454990000825442,0.8454990000825442,0.0032239155920271,1,Purchase-Only Baseline
006d2e99-7346-4240-b445-2d9cc21ffdfe,27500012,unknown,unit,35.72,in_session,0.8,0,0.0568737501031801,0,0.949673747953222,0.050326252046778,Low,High Trust,scored,0.8029482042990913,0.8454990000825442,0.8454990000825442,0.0020515826494718,2,Purchase-Only Baseline
006d2e99-7346-4240-b445-2d9cc21ffdfe,27500003,unknown,tristar,41.42,in_session,0.8,0,0.0568737501031801,0,0.75,0.25,Medium,Insufficient Evidence,insufficient_evidence_fallback,0.47559318754643115,0.8454990000825442,0.8454990000825442,0.0005861664712776,3,Purchase-Only Baseline
006d2e99-7346-4240-b445-2d9cc21ffdfe,27500008,unknown,smile,38.09,in_session,0.8,1,0.0568737501031801,0,0.9239101607995228,0.0760898392004771,Low,High Trust,scored,0.7811651171220991,0.8454990000825442,0.8454990000825442,0.0043962485345825,4,Purchase-Only Baseline
006d2e99-7346-4240-b445-2d9cc21ffdfe,1004856,electronics.smartphone,samsung,130.76,category_affinity,0.5999999999998826,0,0.0568737501031801,0,0.4960472114380608,0.5039527885619391,Medium,Medium Trust,scored,0.23591667446129966,0.6341242500617841,0.6341242500617841,0.9999999999997068,5,Purchase-Only Baseline
